   station|  latitude| longitude
      Z55A|   33.2211|  -82.1359
      Z54A|   33.2362|  -82.8417
      Z53A|   33.2801|  -83.5713
      Z52A|   33.1893|  -84.4176
      Z51A|   33.3167|  -85.1747
      Z50A|    33.254|  -85.9226
      Z49A|   33.1942|  -86.5311
      Z43A|     33.21|  -91.2441
      Z42A|   33.2739|  -91.9474
      Z41A|   33.2577|   -92.803
      Y54A|   33.8621|   -82.688
      Y53A|   33.8554|  -83.5836
      Y52A|    33.864|  -84.0626
      Y51A|   33.8993|   -85.064
      Y50A|   33.8911|  -85.7347
      Y49A|   33.8577|  -86.4119
      Y48A|   33.9131|  -87.1696
      Y43A|   33.9121|  -90.9285
      Y42A|   33.8364|  -91.7871
      Y41A|   33.8807|  -92.6113
      Y22D|   34.0739|  -106.921
      X59A|    34.572|  -78.6023
      X58A|   34.5548|  -79.3388
      X57A|   34.4643|   -80.094
      X56A|   34.4923|  -81.0319
      X55A|   34.4701|  -81.6336
      X54A|   34.5474|  -82.3743
      X53A|   34.5031|  -83.3013
      X52A|   34.6032|  -83.8938
      X51A|   34.5658|  -84.8574
      X50B|   34.4611|  -85.6499
      X49A|   34.5126|   -86.326
      X48A|   34.4517|  -87.0452
      X47A|   34.5178|  -87.8571
      X46A|   34.5564|  -88.5844
      X43A|    34.518|  -90.8812
      X42A|   34.5532|  -91.6262
      X41A|   34.4949|  -92.5137
      X40A|   34.4873|  -92.8342
      WHTX|   31.9913|  -97.4561
      W54A|   35.0857|  -82.1859
      W53A|   35.1696|   -83.163
      W52A|   35.0935|  -83.9277
      W51A|   35.1606|  -84.7599
      W50A|   35.2002|  -85.3119
      W49A|   35.1194|  -86.2645
      W48A|   35.1386|  -86.9333
      W47A|   35.2511|  -87.5946
      W46A|   35.1333|  -88.3783
      W45A|   35.1568|   -89.186
      W44A|   35.1395|  -89.8161
      W43A|   35.0877|  -90.7061
      W42A|   35.2732|  -91.5224
      W41B|   35.1736|  -92.2479
      W39A|    35.196|   -93.784
      W18A|   35.1181| -109.7357
      V53A|   35.6694|  -82.8124
      V52A|   35.8417|  -83.5959
      V51A|   35.8033|  -84.3511
      V50A|   35.6713|     -85.1
      V49A|   35.7663|   -85.903
      V48A|     35.74|  -86.8219
      V47A|   35.8278|  -87.5205
      V46A|   35.8007|  -88.1177
      V45A|   35.7403|  -88.9591
      V44A|   35.8282|  -89.8954
      V43A|   35.7857|  -90.5443
      V42A|    35.806|    -91.39
      V41A|   35.7851|  -92.1554
      U53A|   36.3644|  -82.5765
      U52A|   36.3929|  -83.3671
      U51A|   36.3786|  -84.0165
      U50A|   36.4156|  -84.8431
      U49A|   36.5129|  -85.7796
      U48A|   36.5107|  -86.5402
      U47A|   36.4413|  -87.2892
      U46A|    36.359|  -88.1773
      U45A|   36.3481|  -88.7635
      U44B|   36.3391|  -89.3507
      U44A|   36.5047|  -89.6863
      U43A|   36.3693|  -90.4057
      U42A|   36.3514|  -91.2383
      U41A|    36.344|  -91.9203
      U40A|   36.3563|  -92.8535
      TUL1|   35.9104|  -95.7919
      TPFO|    33.606| -116.4544
      TOLK|   68.6408| -149.5724
      TIGA|   31.4389|  -83.5898
      TCOL|   64.8735| -147.8618
      T54A|   37.0608|  -81.5762
      T53A|   36.9823|   -82.535
      T52A|   37.1076|  -82.9852
      T51A|   36.9655|  -83.9454
      T50A|   37.0204|  -84.8384
      T49A|    37.105|  -85.5334
      T48A|   37.1094|  -86.3943
      T47A|   36.9881|  -87.1055
      T46A|   37.0417|  -87.8941
      T45A|   37.0196|  -88.6447
      T44A|    37.086|  -89.5896
      T43A|   37.0833|  -90.2878
      T42A|   37.0301|  -91.0927
      T41A|   37.0436|  -91.7636
      SUSD|   44.4429|  -98.9556
      SPMN|   45.2246|  -92.8037
      SFIN|    40.379|  -87.0967
      S55A|   37.7724|  -80.5013
      S53A|   37.6815|  -82.1264
      S52A|   37.6791|  -83.0784
      S51A|   37.6392|  -83.5935
      S50A|    37.679|  -84.4003
      S49A|   37.7849|  -85.2875
      S48A|   37.6574|  -86.0569
      S47A|   37.5946|  -86.8779
      S46A|   37.6849|  -87.7153
      S45A|   37.6774|  -88.5804
      S44A|   37.6936|  -89.2551
      S43A|   37.5716|  -90.0754
      S42A|     37.77|  -90.7939
      S41A|   37.5877|  -91.7458
      R58B|   37.9636|  -77.8787
      R55A|   38.2825|  -80.1195
      R54A|   38.1809|  -80.9904
      R53A|   38.3307|  -81.9513
      R52A|   38.3366|  -82.6443
      R51A|   38.3001|  -83.5834
      R50A|   38.2816|  -84.3274
      R49A|   38.2916|  -85.1714
      R48A|   38.4001|  -85.8714
      R47A|   38.2957|   -86.527
      R46A|   38.2124|  -87.5114
      R45A|   38.2926|  -88.2812
      R44A|   38.2475|  -89.0809
      R43A|    38.276|  -89.9308
      R42A|   38.2804|  -90.7944
      R41A|   38.2976|  -91.3795
      R11A|   38.3489| -115.5854
      Q55A|   38.9952|  -80.0812
      Q54A|   38.9836|  -80.8338
      Q52A|   38.9622|  -82.2669
      Q51A|    39.026|  -83.3456
      Q50A|   38.8436|   -83.979
      Q49A|    39.005|  -84.8956
      Q48A|   38.9295|  -85.7311
      Q47A|   38.9362|  -86.4261
      Q46A|   39.0231|  -87.3575
      Q45A|   38.8948|  -88.1565
      Q44A|   38.9032|   -89.017
      Q43A|    38.941|  -89.6991
      Q42A|    38.912|  -90.5331
      Q41A|   38.9539|  -91.2317
      POKR|   65.1171| -147.4335
      P55A|   39.5078|  -79.8265
      P54A|   39.6092|  -80.4796
      P53A|   39.4868|  -81.3896
      P52A|   39.6337|  -82.1325
      P51A|   39.4818|  -83.0601
      P50A|   39.6086|  -83.7988
      P49A|   39.5342|  -84.7164
      P48A|   39.4605|  -85.4258
      P47A|   39.4869|  -86.2699
      P46A|   39.6178|  -87.2067
      P45A|   39.5277|  -87.7439
      P44A|   39.4676|  -88.6209
      P43A|   39.6409|  -89.5213
      P42A|   39.5853|  -90.3443
