,station,cluster,mean_peak_dB,max_peak_dB,mean_duration,mean_background_dB,max_background_dB,mean_snr,max_snr,max_duration,start_time,end_time
0,058A,0,-12.191095081967214,1.316,79.2655737704918,-26.59253114754098,-17.232,14.40143606557377,33.763999999999996,537.0,2013-02-13 14:32:31,2013-02-17 23:00:27
1,058A,1,-23.817238383838383,-8.341,65.12929292929293,-34.94016161616162,-24.442,11.122923232323231,33.358,410.0,2013-02-11 00:30:03,2013-02-14 21:30:26
2,058A,2,-29.48305128205128,-21.131,52.65934065934066,-38.60147985347986,-27.933,9.118428571428572,18.158,294.0,2013-02-14 00:28:08,2013-02-17 22:22:55
3,059A,0,-30.341070402298854,-19.282,50.742816091954026,-40.41263793103448,-27.967,10.071567528735631,21.554000000000002,384.0,2013-02-11 00:28:08,2013-02-17 23:57:25
4,059A,1,-16.548686046511627,4.329,75.21220930232558,-28.865498546511628,-18.332,12.316812500000001,31.106,858.0,2013-02-11 00:02:45,2013-02-15 03:12:11
5,059A,2,-10.48688155339806,7.401,71.50485436893204,-22.777184466019417,-14.854,12.290302912621359,27.334000000000003,435.0,2013-02-14 19:33:57,2013-02-17 22:35:55
6,059Z,0,-31.78697967479675,-21.645,51.34959349593496,-41.22985975609756,-28.818,9.442880081300812,20.342000000000002,294.0,2013-02-11 00:25:35,2013-02-17 22:31:27
7,059Z,1,-14.527487068965517,5.867,68.26508620689656,-26.478797413793103,-17.374,11.951310344827586,39.092,359.0,2013-02-16 14:15:39,2013-02-17 22:16:18
8,059Z,2,-15.931861022364217,-1.365,72.2923322683706,-27.664107028753993,-18.635,11.732246006389778,37.484,665.0,2013-02-11 00:02:32,2013-02-15 02:10:32
9,060A,0,-9.088376699029126,5.562,74.09320388349515,-18.78681553398058,-4.601,9.698438834951457,24.754,499.0,2013-02-15 18:42:19,2013-02-17 23:11:07
10,060A,1,-11.365008291873965,2.527,82.3665008291874,-21.59451409618574,-9.513,10.229505804311774,32.932,845.0,2013-02-11 13:32:34,2013-02-15 03:39:04
11,060A,2,-27.568813909774438,-17.194,60.1203007518797,-36.72113345864661,-23.554,9.152319548872182,17.661,563.0,2013-02-11 03:03:01,2013-02-17 23:41:12
12,060Z,0,-4.889569930069929,19.126,81.04545454545455,-14.865928321678325,-4.481,9.976358391608393,44.947,1882.0,2013-02-14 09:11:14,2013-02-17 22:48:56
13,060Z,1,-15.33680984719864,-0.171,77.47028862478777,-24.740441426146013,-12.041,9.403631578947367,26.59,1856.0,2013-02-11 00:00:11,2013-02-14 21:17:38
14,060Z,2,-25.366349922239504,-13.3,62.9642301710731,-34.20696111975116,-20.101,8.840611197511663,22.636999999999997,845.0,2013-02-12 02:00:05,2013-02-17 23:23:30
15,061Z,0,-9.989779299847793,8.581,80.61187214611873,-20.996543378995433,-8.781,11.00676407914764,39.942,1127.0,2013-02-14 17:30:00,2013-02-17 23:02:10
16,061Z,1,-31.92782456140351,-19.332,59.85964912280702,-41.60258070175439,-26.742,9.674756140350876,22.427,422.0,2013-02-11 03:07:30,2013-02-17 23:28:11
17,061Z,2,-15.469660714285716,2.399,74.19047619047619,-26.43543154761905,-17.737,10.965770833333332,30.025,1075.0,2013-02-11 00:01:15,2013-02-14 22:52:08
18,062Z,0,-31.753049808429118,-22.829,50.3007662835249,-40.71552490421456,-29.736,8.962475095785441,19.141000000000002,576.0,2013-02-12 07:07:43,2013-02-17 23:55:55
19,062Z,1,-16.06268827586207,3.783,60.064827586206896,-29.3619075862069,-22.321,13.29921931034483,39.683,6195.0,2013-02-12 13:32:21,2013-02-17 21:25:06
