,station,cluster,max_peak_db,mean_peak_db,min_peak_db,max_background_db,mean_background_db,min_background_db,max_snr_db,mean_snr_db,min_snr_db,max_duration_sec,mean_duration_sec,min_duration_sec,start_time,end_time
0,058A,0,1.316,-12.191095081967214,-21.199,-17.232,-26.59253114754098,-40.411,33.763999999999996,14.40143606557377,6.023,537.0,79.2655737704918,25.0,2013-02-16 17:56:50.672131072,2013-02-16 17:58:09.937704960
1,058A,1,-8.341,-23.817238383838383,-39.417,-24.442,-34.94016161616162,-47.026,33.358,11.122923232323231,6.001999999999999,410.0,65.12929292929293,25.0,2013-02-12 22:31:47.836363776,2013-02-12 22:32:52.965656320
2,058A,2,-21.131,-29.48305128205128,-39.338,-27.933,-38.60147985347986,-46.398,18.158,9.118428571428572,6.004999999999999,294.0,52.65934065934066,25.0,2013-02-16 09:30:55.772893952,2013-02-16 09:31:48.432234240
3,059A,0,-19.282,-30.341070402298854,-40.228,-27.967,-40.41263793103448,-49.361,21.554000000000002,10.071567528735631,6.018000000000001,384.0,50.742816091954026,25.0,2013-02-14 22:10:01.587643904,2013-02-14 22:10:52.330459904
4,059A,1,4.329,-16.548686046511627,-33.96,-18.332,-28.865498546511628,-45.913,31.106,12.316812500000001,6.024000000000001,858.0,75.21220930232558,25.0,2013-02-12 23:07:12.527616256,2013-02-12 23:08:27.739825664
5,059A,2,7.401,-10.48688155339806,-25.185,-14.854,-22.777184466019417,-41.83,27.334000000000003,12.290302912621359,6.016,435.0,71.50485436893204,25.0,2013-02-17 03:20:04.370873856,2013-02-17 03:21:15.875728384
6,059Z,0,-21.645,-31.78697967479675,-43.536,-28.818,-41.22985975609756,-49.94,20.342000000000002,9.442880081300812,6.015000000000001,294.0,51.34959349593496,25.0,2013-02-14 22:54:16.766259968,2013-02-14 22:55:08.115853824
7,059Z,1,5.867,-14.527487068965517,-28.625,-17.374,-26.478797413793103,-42.295,39.092,11.951310344827586,6.0,359.0,68.26508620689656,25.0,2013-02-17 07:01:47.971982848,2013-02-17 07:02:56.237069056
8,059Z,2,-1.365,-15.931861022364217,-29.656,-18.635,-27.664107028753993,-44.445,37.484,11.732246006389778,6.001000000000001,665.0,72.2923322683706,25.0,2013-02-13 04:45:32.832268288,2013-02-13 04:46:45.124600832
9,060A,0,5.562,-9.088376699029126,-22.67,-4.601,-18.78681553398058,-35.689,24.754,9.698438834951457,6.002000000000001,499.0,74.09320388349515,25.0,2013-02-17 06:52:17.547572992,2013-02-17 06:53:31.640776704
10,060A,1,2.527,-11.365008291873965,-24.003,-9.513,-21.59451409618574,-41.329,32.932,10.229505804311774,6.007,845.0,82.3665008291874,25.0,2013-02-13 06:02:33.837479424,2013-02-13 06:03:56.203980288
11,060A,2,-17.194,-27.568813909774438,-38.13,-23.554,-36.72113345864661,-44.746,17.661,9.152319548872182,6.005000000000003,563.0,60.1203007518797,25.0,2013-02-14 18:32:28.953007360,2013-02-14 18:33:29.073308416
12,060Z,0,19.126,-4.889569930069929,-19.108,-4.481,-14.865928321678325,-34.04,44.947,9.976358391608393,6.001000000000001,1882.0,81.04545454545455,25.0,2013-02-16 23:03:11.760489472,2013-02-16 23:04:32.805944064
13,060Z,1,-0.171,-15.33680984719864,-33.812,-12.041,-24.740441426146013,-44.268,26.59,9.403631578947367,6.0070000000000014,1856.0,77.47028862478777,25.0,2013-02-12 14:56:41.624787712,2013-02-12 14:57:59.095076352
14,060Z,2,-13.3,-25.366349922239504,-39.673,-20.101,-34.20696111975116,-46.163,22.636999999999997,8.840611197511663,6.006000000000004,845.0,62.9642301710731,25.0,2013-02-15 06:33:33.447900672,2013-02-15 06:34:36.412130560
15,061Z,0,8.581,-9.989779299847793,-24.512,-8.781,-20.996543378995433,-44.911,39.942,11.00676407914764,6.064,1127.0,80.61187214611873,25.0,2013-02-16 18:31:28.004566272,2013-02-16 18:32:48.616438272
16,061Z,1,-19.332,-31.92782456140351,-44.677,-26.742,-41.60258070175439,-52.021,22.427,9.674756140350876,6.003999999999998,422.0,59.85964912280702,25.0,2013-02-15 05:42:22.628070144,2013-02-15 05:43:22.487719168
17,061Z,2,2.399,-15.469660714285716,-35.749,-17.737,-26.43543154761905,-47.613,30.025,10.965770833333332,6.000999999999998,1075.0,74.19047619047619,25.0,2013-02-12 16:13:34.866071552,2013-02-12 16:14:49.056547584
18,062Z,0,-22.829,-31.753049808429118,-44.869,-29.736,-40.71552490421456,-52.766,19.141000000000002,8.962475095785441,6.018000000000001,576.0,50.3007662835249,25.0,2013-02-15 02:28:47.982758656,2013-02-15 02:29:38.283524864
19,062Z,1,3.783,-16.06268827586207,-25.994,-22.321,-29.3619075862069,-47.767,39.683,13.29921931034483,6.004999999999999,6195.0,60.064827586206896,25.0,2013-02-16 23:20:40.841379328,2013-02-16 23:21:40.906206976
20,062Z,2,-1.557,-23.236355223880597,-32.18,-26.02,-33.72999552238806,-43.736,29.551000000000002,10.493640298507461,6.001000000000001,320.0,53.57761194029851,25.0,2013-02-11 16:31:44.292537344,2013-02-11 16:32:37.870149120
21,121A,0,-17.355,-25.368476923076923,-38.657,-23.741,-33.97967032967033,-45.414,20.526999999999997,8.611193406593406,6.006,948.0,101.56923076923077,25.0,2013-02-15 20:19:05.553846272,2013-02-15 20:20:47.123077120
